interface,x_mm,y_mm,detail
S1,-16.4,-11.6,M1.6 x 16 from underside; 1.8 clearance; lid 1.25 tap pilot; 5 mm nominal engagement
S2,16.4,11.6,M1.6 x 16 from underside; 1.8 clearance; lid 1.25 tap pilot; 5 mm nominal engagement
S3,0,20.2,M1.6 x 16 from underside; 1.8 clearance; lid 1.25 tap pilot; 5 mm nominal engagement
Guide 1,-9.3,16,1.7 socket bore / 2.5 OD; nominal 1.6 metal guide; bonded retention TBD
Guide 2,4.1,14,1.7 socket bore / 2.5 OD; nominal 1.6 metal guide; bonded retention TBD
Glide 1,-9.5,-17,"3 mm diameter x .5 pad; bottom .1 above floor, .05 adhesive allowance"
Glide 2,9.5,-17,"3 mm diameter x .5 pad; bottom .1 above floor, .05 adhesive allowance"
Glide 3,7,19,"3 mm diameter x .5 pad; bottom .1 above floor, .05 adhesive allowance"
